id;nombre;apellido;direccion;telefono
1;sergio;once;harmonious fund ego;that peak
2;so beyond;barring;greedily omelet yahoo;messy bag
3;oh powerful;stance incense pile;interpolate curtain;vivacious
4;whose nimble and;vainly liquidize ath;apud eek;amid
5;yuck;out into;counselor specialise wilt;worker mi
6;ecstatic;when via;fooey psst;worthy
7;adventurously refuge;overestimate;ha visible revenue;mmm
8;via;jealously divert duh;given reception overshoot;incidenta
9;amid;loudly palatalize;optimist;rarely at
10;beetle;and obediently;until;patiently
