id;nombre;apellido;direccion;telefono;especilidad
1;triangle;aboard woot amongst;coincidence;inhabit a;optimistically howev
2;where jealously ugly;boast about;famously vague mislead;amidst si;meanwhile bright
3;kookily cloakroom im;yippee;moot industrialisation oof;about;off remit enchanting
4;an over following;ack surfboard courag;for annually;hateful;joyous bliss
5;restore obediently i;versus ordinary as;free;above sta;pish simmer as
6;marimba though;loquat near;snow;ambition ;warm
7;legalize justly like;manufacturer;meh assured briskly;soulful;athwart
8;rhinoceros victoriou;needily including at;though;failing a;hence far into
9;than distribute;boohoo string;baa because;commonly;so
10;secrete sheepishly o;terribly beneath;unroll cleanse especially;flan bela;bucket
